MakeText,BodyColorText,ModelTypeText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,ID,InteriorColorText,Km,ModelText,Properties,Seats,TransmissionTypeText,TypeName,TypeNameFull
Rolls-Royce,White,Phantom 6.7 V12,Limousine,6749,Zuzwil,385 g/km,Occasion,G,15.9 l/100km,4,Hinterradantrieb,1,2004,Benzin,460,1134.0,beige,56000,PHANTOM,"""""""Ab MFK""""""",5,Automat,Phantom 6.7 V12,ROLLS-ROYCE Phantom 6.7 V12
Bentley,White,Continental FlyingSpur6.0,Limousine,5998,Zuzwil,423 g/km,Occasion,G,17.7 l/100km,4,Allrad,1,2006,Benzin,560,1135.0,schwarz,43000,CONTINENTAL,"""""""Ab MFK""""""",4,Automat,Continental FlyingSpur6.0,BENTLEY Continental FlyingSpur6.0
Renault,White,Espace 2.0 T Privilège,Kompaktvan / Minivan,1998,Zuzwil,232 g/km,Occasion,null,9.7 l/100km,5,Vorderradantrieb,3,2004,Benzin,163,1137.0,null,145000,ESPACE,"""""""Ab MFK""""""",5,Automatik-Getriebe,Espace 2.0 T Privilège,RENAULT Espace 2.0 T Privilège
Jaguar,White,R S/C,Coupé,3996,Zuzwil,299 g/km,Occasion,G,12.5 l/100km,2,Hinterradantrieb,11,1999,Benzin,363,1138.0,beige,103000,XK,"""""""Ab MFK""""""",4,Automat,XKR S/C,JAGUAR XKR S/C
MINI,White,1000,Limousine,998,Safenwil,null,Oldtimer,null,null,2,Vorderradantrieb,7,1976,Benzin,40,1139.0,braun,44300,MINI,"""""""Ab MFK""""""",4,Schaltgetriebe manuell,1000,MINI MINI 1000
Mercedes-Benz,Blue,,SUV / Geländewagen,4966,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,1,2002,Benzin,292,114.0,schwarz,20800,ML 500,"""""""Ab MFK""""""",5,Automat,ML 500,MERCEDES-BENZ ML 500
Mercedes-Benz,White,,Cabriolet,3199,Zuzwil,317 g/km,Occasion,null,13.4 l/100km,2,Hinterradantrieb,2,1997,Benzin,231,1141.0,beige,70600,SL 320,"""""""Ab MFK""""""",2,Automat,SL 320,MERCEDES-BENZ SL 320
AGM,White,WLR,Cabriolet,3499,Zuzwil,null,Occasion,null,null,0,Hinterradantrieb,1,2004,Benzin,250,1142.0,weiss,1,null,"""""""Rennwagen""""""",2,Schaltgetriebe,WLR,AGM WLR
VW,White,Phaeton 3.0 TDi V6 4M,Limousine,2967,Zuzwil,259 g/km,Occasion,G,9.6 l/100km,4,Allrad,6,2005,Diesel,225,1147.0,grau,48300,PHAETON,"""""""Ab MFK""""""",5,Automat sequentiell,Phaeton 3.0 TDi V6 4M,VW Phaeton 3.0 TDi V6 4M
Mercedes-Benz,White, L,Limousine,5981,Zuzwil,355 g/km,Occasion,G,14.8 l/100km,4,Hinterradantrieb,3,2007,Benzin,612,1149.0,schwarz,102000,S 65 AMG,"""""""Ab MFK""""""",5,Automat sequentiell,S 65 AMG L,MERCEDES-BENZ S 65 AMG L
