BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,ID,InteriorColorText,Km,MakeText,ModelText,ModelTypeText,Properties,Seats,TransmissionTypeText,TypeName,TypeNameFull
weiss,Coupé,3600,Zuzwil,309 g/km,Occasion,null,12.9 l/100km,2,Allrad,10,2001,Benzin,420,1121.0,beige,30100,PORSCHE,911,911 Turbo,"""Ab MFK""",4,Automatik-Getriebe,911 Turbo,PORSCHE 911 Turbo
weiss,Coupé,5748,Zuzwil,499 g/km,Occasion,G,21.8 l/100km,2,Hinterradantrieb,4,2003,Benzin,517,1124.0,schwarz,39000,FERRARI,575M,575M,"""Ab MFK""",2,Automatik-Getriebe,575M,FERRARI 575M
weiss,Cabriolet,4971,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,1991,Benzin,320,1125.0,grau,197800,MERCEDES-BENZ,SL 500,SL 500,"""Ab MFK""",2,Automat,SL 500,MERCEDES-BENZ SL 500
weiss,Coupé,1775,Zuzwil,null,Occasion,null,null,3,Allrad,11,1984,Benzin,200,1128.0,schwarz,58950,PEUGEOT,205,205 Turbo 16V,"""Ab MFK""",2,Schaltgetriebe,Turbo 16V,PEUGEOT 205 Turbo 16V
weiss,Coupé,3497,Zuzwil,null,Occasion,null,null,0,null,5,1996,null,550,1132.0,grau,25000,JAGUAR,XJ 220,XJ 220,"""Ab MFK""",2,Schaltgetriebe,null,JAGUAR XJ 220
weiss,SUV / Geländewagen,4511,Zuzwil,380 g/km,Occasion,null,15.8 l/100km,5,Allrad,6,2012,Benzin,340,1133.0,schwarz,1000,PORSCHE,CAYENNE,Cayenne S,"""Ab MFK""",5,Automatik-Getriebe,Cayenne S,PORSCHE Cayenne S
weiss,Limousine,6749,Zuzwil,385 g/km,Occasion,G,15.9 l/100km,4,Hinterradantrieb,1,2004,Benzin,460,1134.0,beige,56000,ROLLS-ROYCE,PHANTOM,Phantom 6.7 V12,"""Ab MFK""",5,Automat,Phantom 6.7 V12,ROLLS-ROYCE Phantom 6.7 V12
weiss,Limousine,5998,Zuzwil,423 g/km,Occasion,G,17.7 l/100km,4,Allrad,1,2006,Benzin,560,1135.0,schwarz,43000,BENTLEY,CONTINENTAL,Continental FlyingSpur6.0,"""Ab MFK""",4,Automat,Continental FlyingSpur6.0,BENTLEY Continental FlyingSpur6.0
weiss,Kompaktvan / Minivan,1998,Zuzwil,232 g/km,Occasion,null,9.7 l/100km,5,Vorderradantrieb,3,2004,Benzin,163,1137.0,null,145000,RENAULT,ESPACE,Espace 2.0 T Privilège,"""Ab MFK""",5,Automatik-Getriebe,Espace 2.0 T Privilège,RENAULT Espace 2.0 T Privilège
weiss,Coupé,3996,Zuzwil,299 g/km,Occasion,G,12.5 l/100km,2,Hinterradantrieb,11,1999,Benzin,363,1138.0,beige,103000,JAGUAR,XK,XKR S/C,"""Ab MFK""",4,Automat,XKR S/C,JAGUAR XKR S/C
weiss,Limousine,998,Safenwil,null,Oldtimer,null,null,2,Vorderradantrieb,7,1976,Benzin,40,1139.0,braun,44300,MINI,MINI,1000,"""Ab MFK""",4,Schaltgetriebe manuell,1000,MINI MINI 1000
blau mét.,SUV / Geländewagen,4966,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,1,2002,Benzin,292,114.0,schwarz,20800,MERCEDES-BENZ,ML 500,ML 500,"""Ab MFK""",5,Automat,ML 500,MERCEDES-BENZ ML 500
weiss mét.,Cabriolet,3199,Zuzwil,317 g/km,Occasion,null,13.4 l/100km,2,Hinterradantrieb,2,1997,Benzin,231,1141.0,beige,70600,MERCEDES-BENZ,SL 320,SL 320,"""Ab MFK""",2,Automat,SL 320,MERCEDES-BENZ SL 320
weiss mét.,Cabriolet,3499,Zuzwil,null,Occasion,null,null,0,Hinterradantrieb,1,2004,Benzin,250,1142.0,weiss,1,AGM,null,WLR,"""Rennwagen""",2,Schaltgetriebe,WLR,AGM WLR
weiss mét.,Limousine,2967,Zuzwil,259 g/km,Occasion,G,9.6 l/100km,4,Allrad,6,2005,Diesel,225,1147.0,grau,48300,VW,PHAETON,Phaeton 3.0 TDi V6 4M,"""Ab MFK""",5,Automat sequentiell,Phaeton 3.0 TDi V6 4M,VW Phaeton 3.0 TDi V6 4M
weiss mét.,Limousine,5981,Zuzwil,355 g/km,Occasion,G,14.8 l/100km,4,Hinterradantrieb,3,2007,Benzin,612,1149.0,schwarz,102000,MERCEDES-BENZ,S 65 AMG,S 65 AMG L,"""Ab MFK""",5,Automat sequentiell,S 65 AMG L,MERCEDES-BENZ S 65 AMG L
weiss mét.,Limousine,1498,Zuzwil,159 g/km,Occasion,F,6.7 l/100km,3,Vorderradantrieb,10,2005,Benzin,95,1151.0,anthrazit,99000,MERCEDES-BENZ,A 150,A 150 Classic,"""Ab MFK""",5,Schaltgetriebe manuell,A 150 Classic,MERCEDES-BENZ A 150 Classic
weiss mét.,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,3,2004,Benzin,450,1153.0,schwarz,55000,AUDI,RS6,RS6 Avant quattro,"""Ab MFK""",5,Automat sequentiell,RS6 Avant quattro,AUDI RS6 Avant quattro
blau mét.,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,10,2008,Benzin,580,116.0,schwarz,79700,AUDI,RS6,RS6 Avant 5.0 V10 quattro,"""Ab MFK""",5,Automat,RS6 Avant 5.0 V10 quattro,AUDI RS6 Avant 5.0 V10 quattro
blau mét.,Cabriolet,5439,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,2,2008,Benzin,582,118.0,schwarz,32500,MERCEDES-BENZ,null,CLK DTM AMG,"""Ab MFK""",4,Automatik-Getriebe,CLK DTM AMG,MERCEDES-BENZ CLK DTM AMG
anthrazit mét.,SUV / Geländewagen,4619,Zuzwil,356 g/km,Occasion,G,14.9 l/100km,5,Allrad,11,2002,Benzin,347,12.0,schwarz,26500,BMW,X5,X5 4.6is,"""Ab MFK""",5,Automat sequentiell,X5 4.6is,BMW X5 4.6is
blau mét.,Cabriolet,5513,Zuzwil,346 g/km,Occasion,G,14.4 l/100km,2,Hinterradantrieb,4,2004,Benzin,500,120.0,anthrazit,14500,MERCEDES-BENZ,SL 600,SL 600,"""Ab MFK""",2,Automat,SL 600,MERCEDES-BENZ SL 600
blau mét.,Limousine,6749,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,3,1995,Benzin,245,121.0,null,39100,BENTLEY,BROOKLANDS,Brooklands,"""Ab MFK""",5,Automat,Brooklands,BENTLEY Brooklands
